"id","name","unitLastWord","unitSeqLast","word","docTokenSeqLast","entityType","roleType","person"
"377C4C516E9CF","lha sa dang bod ljongs mi rigs dpe skrun khang","<0> <0> དེབ་གཟུགས་ བྱས་ བྱས །",100,"<0>",456,"organization","A",0
"33E5B92D21E96","phyag dpe (bod nang nas)","<0> <0> དེབ་གཟུགས་ བྱས་ བྱས །",100,"<0>",457,"thing","P",0
"2BE437474D646","phyag dpe (bod nang nas)","ལྟ་ དེ་ ཚོ་ ང་ ཚོ་ གཞི་ནས་",102,"དེ་ ཚོ་",467,"thing","P",3
"F1EB45B87C2E","dpe mdzod khang gi las byed pa","ལྟ་ དེ་ ཚོ་ ང་ ཚོ་ གཞི་ནས་",102,"ང་ ཚོ་",469,"person","A",1
"29931350829A8","dkar chag","དཀར་ཆག་ བཟོ་ བཞིན་པ་ ཡིན །",103,"དཀར་ཆག་",471,"thing","OBL",3
"11E2142A65273","slob phrug","ཨ་ནི་ ང་ གཙོ་བོ་ འདི ར",106,"ང་",482,"person","S",1
"7F396B6C5D67","bcar ya yi rgyu mtshan","ཨ་ནི་ ང་ གཙོ་བོ་ འདི ར",106,"ང་ གཙོ་བོ་ འདི ར",485,"abstract","FREE",1
"150C7F76F7D52","bod yig sde tshan gyi dpe mdzod","ཨ་ནི་ ང་ གཙོ་བོ་ འདི ར",106,"འདི ར",485,"location","OBL",3
"238EF399DBCE1","da lta","ད་ལྟ་ བཅར་ དགོས་ ཡ་ རྒྱུ་མཚན་ དེ་",107,"ད་ལྟ་",486,"date/time","ADJ",3
"10F43E43B680C","bcar ya yi rgyu mtshan","ད་ལྟ་ བཅར་ དགོས་ ཡ་ རྒྱུ་མཚན་ དེ་",107,"ད་ལྟ་ བཅར་ དགོས་ ཡ་ རྒྱུ་མཚན་ དེ་",491,"abstract","FREE",3
"68A03E4EC118","slob phrug","<0> <0> རྒྱལ་རབས་ ཀྱི་ དེབ་ འདི་འདྲས་ མང་པོ་ བཙལ་བ ར་ ཡོང་བ་ ཡིན །",108,"<0>",492,"person","S",0
"34C215A49730C","slob phrug","<0> <0> རྒྱལ་རབས་ ཀྱི་ དེབ་ འདི་འདྲས་ མང་པོ་ བཙལ་བ ར་ ཡོང་བ་ ཡིན །",108,"<0>",493,"person","A",0
"213408A8E4219","rgyal rabs","<0> <0> རྒྱལ་རབས་ ཀྱི་ དེབ་ འདི་འདྲས་ མང་པོ་ བཙལ་བ ར་ ཡོང་བ་ ཡིན །",108,"རྒྱལ་རབས་ ཀྱི་",495,"abstract","POSS",3
"1A0AEF02ABCCE","rgyal rabs kyi deb","<0> <0> རྒྱལ་རབས་ ཀྱི་ དེབ་ འདི་འདྲས་ མང་པོ་ བཙལ་བ ར་ ཡོང་བ་ ཡིན །",108,"རྒྱལ་རབས་ ཀྱི་ དེབ་",496,"thing","P",3
"1C2F3CE494EF3","rgyal rabs kyi deb","ཨ་ནི་ རྒྱལ་རབས་ ནང་ གི་ གཙོ་བོ་ བོད་ ནས་ བྲིས་ བཞག་པ <0> །",110,"རྒྱལ་རབས་ ནང་ གི་",509,"thing","POSS",3
"190BE7E196928","bod nas bris pa'i deb","ཨ་ནི་ རྒྱལ་རབས་ ནང་ གི་ གཙོ་བོ་ བོད་ ནས་ བྲིས་ བཞག་པ <0> །",110,"རྒྱལ་རབས་ ནང་ གི་ གཙོ་བོ་",510,"thing","COPS",3
"3732334C40657","bod","ཨ་ནི་ རྒྱལ་རབས་ ནང་ གི་ གཙོ་བོ་ བོད་ ནས་ བྲིས་ བཞག་པ <0> །",110,"བོད་ ནས་",512,"location","OBL",3
"22F49467D4F48","bod nas bris pa'i deb","ཨ་ནི་ རྒྱལ་རབས་ ནང་ གི་ གཙོ་བོ་ བོད་ ནས་ བྲིས་ བཞག་པ <0> །",110,"བོད་ ནས་ བྲིས་ བཞག་པ",514,"thing","PRED",3
"27CF2E7EF32C3","slob phrug","<0> བོད་ ནས་ བྲིས་ བཞག་ ཟེར་ ན འི་",112,"<0>",522,"person","A",0
"26A6BB76CC2BE","bod","<0> བོད་ ནས་ བྲིས་ བཞག་ ཟེར་ ན འི་",112,"བོད་ ནས་",524,"location","OBL",3
"32976A4F2D266","bod nas bris pa'i deb","<0> བོད་ ནས་ བྲིས་ བཞག་ ཟེར་ ན འི་",112,"བོད་ ནས་ བྲིས་ བཞག་",526,"thing","P",3
"A679293BFC6","bod","བོད་ ནས་ མར་ དཔར་བསྐྲུན་ བྱས་པ འི་ རྒྱལ་རབས་ ཀྱི་ དེབ་ རེད །",113,"བོད་ ནས་",531,"location","OBL",3
"2D51E0667DE3F","bod nas bris pa'i deb","བོད་ ནས་ མར་ དཔར་བསྐྲུན་ བྱས་པ འི་ རྒྱལ་རབས་ ཀྱི་ དེབ་ རེད །",113,"བོད་ ནས་ མར་ དཔར་བསྐྲུན་ བྱས་པ འི་ རྒྱལ་རབས་ ཀྱི་ དེབ་",538,"thing","PRED",3
"2A14BDB04592D","dpar bskrun","བོད་ ནས་ མར་ དཔར་བསྐྲུན་ བྱས་པ འི་ རྒྱལ་རབས་ ཀྱི་ དེབ་ རེད །",113,"དཔར་བསྐྲུན་",533,"abstract","LVO",3
"FD16406D2026","rgyal rabs","བོད་ ནས་ མར་ དཔར་བསྐྲུན་ བྱས་པ འི་ རྒྱལ་རབས་ ཀྱི་ དེབ་ རེད །",113,"རྒྱལ་རབས་ ཀྱི་",537,"abstract","POSS",3
"10E4027CCC028","rgya gar nas bris pa","ད་ག་ ནང་བཞིན་ གང་ ཟེར་ རྒྱ་ནག་ གི",114,"ད་ག་ ནང་བཞིན་",542,"thing","FREE",3
"1E9199884955","gang (zer)","ད་ག་ ནང་བཞིན་ གང་ ཟེར་ རྒྱ་ནག་ གི",114,"གང་",543,"abstract","P",3
"3787A284C44D2","rgya nag","ད་ག་ ནང་བཞིན་ གང་ ཟེར་ རྒྱ་ནག་ གི",114,"རྒྱ་ནག་ གི",546,"location","POSS",3
"11431185B8F15","gang (zer)","གང་ ཟེར་",116,"གང་",548,"abstract","P",3
"73569E7BB9D1","rgya gar","རྒྱ་གར་ ནས་ དཔར་བསྐྲུན་ བྱས་པ འི་ དེབ་ རེད །",117,"རྒྱ་གར་ ནས་",551,"location","ADJ",3
"37D5890C21663","deb","རྒྱ་གར་ ནས་ དཔར་བསྐྲུན་ བྱས་པ འི་ དེབ་ རེད །",117,"རྒྱ་གར་ ནས་ དཔར་བསྐྲུན་ བྱས་པ འི་ དེབ་",555,"thing","PRED",3
"2C8CF6EA4E6F9","dpar bskrun","རྒྱ་གར་ ནས་ དཔར་བསྐྲུན་ བྱས་པ འི་ དེབ་ རེད །",117,"དཔར་བསྐྲུན་",552,"abstract","LVO",3
"372B764AC9AF6","bod yig sde tshan gyi dpe mdzod","ཨ་ནི་ ཡང་ <0> ཕྱི་རྒྱལ་ ནུབ་ཕྱོགས་པ འི་ མི་རིགས་ འདི་འདྲས་",118,"<0>",560,"location","COPLOC",0
"22F9CC6A2CBE8","phyi rgyal nub phyogs pa","ཨ་ནི་ ཡང་ <0> ཕྱི་རྒྱལ་ ནུབ་ཕྱོགས་པ འི་ མི་རིགས་ འདི་འདྲས་",118,"ཕྱི་རྒྱལ་ ནུབ་ཕྱོགས་པ འི་",563,"person","POSS",3
"11C3BB35B8A6A","nub phyogs pa'i mi rigs","ཨ་ནི་ ཡང་ <0> ཕྱི་རྒྱལ་ ནུབ་ཕྱོགས་པ འི་ མི་རིགས་ འདི་འདྲས་",118,"ཕྱི་རྒྱལ་ ནུབ་ཕྱོགས་པ འི་ མི་རིགས་",564,"person","A",3
"79CC1DC8D56E","bod skad nang bris pa'i rgyal rabs kyi deb","ཨ་ནི་ ཡང་ <0> ཕྱི་རྒྱལ་ ནུབ་ཕྱོགས་པ འི་ མི་རིགས་ འདི་འདྲས་",118,"ཕྱི་རྒྱལ་ ནུབ་ཕྱོགས་པ འི་ མི་རིགས་ འདི་འདྲས་",565,"thing","EXIST",3
"1EF5865ACB1FC","nub phyogs pas bris pa","ཨ་ནི་ ཡང་ <0> ཕྱི་རྒྱལ་ ནུབ་ཕྱོགས་པ འི་ མི་རིགས་ འདི་འདྲས་",118,"འདི་འདྲས་",565,"`",NA,3
"15B4227A5D5BF","bod skad","བོད་སྐད་ ནང་ བྲིས་པ འི་ རྒྱལ་རབས་ ཀྱི་ དེབ་ ཡོད་པ་ ཡིན་ ན །",119,"བོད་སྐད་ ནང་",567,"abstract","ADJ",3
"1E9C0D0B8D7A4","bod skad nang bris pa'i rgyal rabs kyi deb","བོད་སྐད་ ནང་ བྲིས་པ འི་ རྒྱལ་རབས་ ཀྱི་ དེབ་ ཡོད་པ་ ཡིན་ ན །",119,"བོད་སྐད་ ནང་ བྲིས་པ འི་ རྒྱལ་རབས་ ཀྱི་ དེབ་",572,"thing","EXIST",3
"34C001EC25987","rgyal rabs","བོད་སྐད་ ནང་ བྲིས་པ འི་ རྒྱལ་རབས་ ཀྱི་ དེབ་ ཡོད་པ་ ཡིན་ ན །",119,"རྒྱལ་རབས་ ཀྱི་",571,"abstract","POSS",3
"159EBDD3F99AD","nub phyogs pas bris pa","དེ་འདྲས་ འདྲ་པོ་ ཨང་",122,"དེ་འདྲས་ འདྲ་པོ་",580,"`",NA,3
"370DBAF338661","bod skad nang bris pa'i rgyal rabs kyi deb","ཁ་ཤས་ ཤིག་ ང་ ཨང་",123,"ཁ་ཤས་ ཤིག་",583,"thing","LVP",3
"233CAD1C34F49","slob phrug","ཁ་ཤས་ ཤིག་ ང་ ཨང་",123,"ང་",584,"person","A",1
"142C351DDF255","mkho sgrub","མཁོ་སྒྲུབ་ ཞུ་ གི་ ཡོད །",124,"མཁོ་སྒྲུབ་",586,"abstract","LVO",3
"1C5E09BCBE1C7","bod dang rgya gar dang nub phyogs la bris pa'i deb","ཨ་ནི་ འདི་གས་ ཁྱེད་རང་ གིས་ <0> གཡར་ གནང་ ཐུབ་ ཀྱི་ རེད་ པས །",126,"འདི་གས་",596,"thing","P",3
"730D3DAB7122","dpe mdzod do dam pa","ཨ་ནི་ འདི་གས་ ཁྱེད་རང་ གིས་ <0> གཡར་ གནང་ ཐུབ་ ཀྱི་ རེད་ པས །",126,"ཁྱེད་རང་ གིས་",598,"person","A",2
"152399F303FC6","slob phrug","ཨ་ནི་ འདི་གས་ ཁྱེད་རང་ གིས་ <0> གཡར་ གནང་ ཐུབ་ ཀྱི་ རེད་ པས །",126,"<0>",599,"person","OBL",0
"1AB4EC1CC8C3D","dpe mdzod khang gi las byed pa","ལྟ་ ང་ ཚོ་ འདི་ བོད་ ཀྱི་ རྒྱལ་རབས་ དང་ ལོ་རྒྱུས་ སྐོར་ ལ་",128,"ང་ ཚོ་",612,"person","FREE",1
"358E025F742F2","bod","ལྟ་ ང་ ཚོ་ འདི་ བོད་ ཀྱི་ རྒྱལ་རབས་ དང་ ལོ་རྒྱུས་ སྐོར་ ལ་",128,"བོད་ ཀྱི་",615,"location","POSS",3
"18DA03549875","bod kyi rgyal rabs dang lo rgyus","ལྟ་ ང་ ཚོ་ འདི་ བོད་ ཀྱི་ རྒྱལ་རབས་ དང་ ལོ་རྒྱུས་ སྐོར་ ལ་",128,"བོད་ ཀྱི་ རྒྱལ་རབས་ དང་ ལོ་རྒྱུས་ སྐོར་ ལ་",620,"abstract","FREE",3
"23307B1B918D3","da lta","དེ་ ད་ལྟ་ བོད་སྐད་ ཀྱི་ ཐོག་ ལ་ ཡོད་པ་",131,"ད་ལྟ་",625,"date/time","FREE",3
"3016E39A18BF6","bod skad","དེ་ ད་ལྟ་ བོད་སྐད་ ཀྱི་ ཐོག་ ལ་ ཡོད་པ་",131,"བོད་སྐད་ ཀྱི་ ཐོག་ ལ་",629,"abstract","COPLOC",3
"1167A2095F35B","bod skad kyi thog la yod pa'i deb","དེ་ ད་ལྟ་ བོད་སྐད་ ཀྱི་ ཐོག་ ལ་ ཡོད་པ་",131,"བོད་སྐད་ ཀྱི་ ཐོག་ ལ་ ཡོད་པ་",630,"event","FREE",3
"9AC63291E459","dpe mdzod khang gi las byed pa","དེ་ ང་ ཚོ་ ཚང་མ །",132,"ང་ ཚོ་",633,"person","FREE",1
"1B4DEC601763A","da lta","ད་ལྟ་ འདི ར་ ནང་ ལ་ ག་རེ་ ཞུ་ དགོས་ ཀྱི་ རེད །",134,"ད་ལྟ་",637,"date/time","ADJ",3
"384CBAE73184B","mtho slob","ད་ལྟ་ འདི ར་ ནང་ ལ་ ག་རེ་ ཞུ་ དགོས་ ཀྱི་ རེད །",134,"འདི ར་ ནང་ ལ་",641,"organization","ADJ",3
"C75C56812704","glog klad","ད་ལྟ་ འདི ར་ ནང་ ལ་ ག་རེ་ ཞུ་ དགོས་ ཀྱི་ རེད །",134,"ག་རེ་",642,"thing","P",3
"725F36C420BE","mtho slob","མཐོ་སློབ་ ད་ག་རང་ གིས་ ཨ་ནི་",135,"མཐོ་སློབ་ ད་ག་རང་ གིས་",650,"organization","A",3
"301768964742F","dkar chag","དཀར་ཆག་ དེ་ ད་ལྟ་ ཀམ་པུར་ཊར་ བརྒྱུད་ ནས་ འགྲོ་ གི་ ཡོད་ རེད །",138,"དཀར་ཆག་ དེ་",655,"thing","S",3
"19B9A8E6F286D","da lta","དཀར་ཆག་ དེ་ ད་ལྟ་ ཀམ་པུར་ཊར་ བརྒྱུད་ ནས་ འགྲོ་ གི་ ཡོད་ རེད །",138,"ད་ལྟ་",656,"date/time","ADJ",3
"C5718172F74A","glog klad","དཀར་ཆག་ དེ་ ད་ལྟ་ ཀམ་པུར་ཊར་ བརྒྱུད་ ནས་ འགྲོ་ གི་ ཡོད་ རེད །",138,"ཀམ་པུར་ཊར་ བརྒྱུད་ ནས་",659,"thing","ADJ",3
"34B1947814D72","slob phrug","<0> དེ འི་ ནང་ ལ་ ཚང་མ་ བཙལ །",140,"<0>",667,"person","A",0
"13E44B1D45422","glog klad","<0> དེ འི་ ནང་ ལ་ ཚང་མ་ བཙལ །",140,"དེ འི་ ནང་ ལ་",671,"thing","ADJ",3
"2D81095A7121","bod skad kyi thog la yod pa'i deb","<0> དེ འི་ ནང་ ལ་ ཚང་མ་ བཙལ །",140,"ཚང་མ་",672,"event","P",3
"F1929E2E2AB2","slob phrug","ཨང་ རྒན་ལགས་ ད་ལྟ་ འདི་ རག་ ཡ་ ཡོད་ རེད །",141,"རྒན་ལགས་",676,"person","ABEN",2
"2267109A4E6DE","da lta","ཨང་ རྒན་ལགས་ ད་ལྟ་ འདི་ རག་ ཡ་ ཡོད་ རེད །",141,"ད་ལྟ་",677,"date/time","ADJ",3
"302C286B67ADA","bod skad kyi thog la yod pa'i deb","ཨང་ རྒན་ལགས་ ད་ལྟ་ འདི་ རག་ ཡ་ ཡོད་ རེད །",141,"འདི་",678,"event","PBEN",3
"1F4AF757C48DA","btsal stangs","ལྟ་ འདི་ ཨང་ བཙལ་ སྟངས་ དེ་",143,"བཙལ་ སྟངས་ དེ་",691,"abstract","FREE",3
"F6AC8F9910","deb 'bri mkhan gyis rtsom po y mtshan","འདི་ གང་ ཟེར་ དགོས་ ཀྱི་ རེད །",147,"འདི་",697,"abstract","OBL",3
"10B1D29493C85","deb 'bri mkhan gyis rtsom po y mtshan","འདི་ གང་ ཟེར་ དགོས་ ཀྱི་ རེད །",147,"གང་",698,"abstract","P",3
"B5AFEB8B845E","deb 'bri mkhan gyis rtsom po y mtshan","_%_ འདི་ ཨང་",149,"འདི་",706,"abstract","FREE",3
"1BFA48DAA3361","rtsom pa po","དེབ་ འབྲི་མཁན་ གྱིས་ རྩོམ་པོ་ ཡི་ མཚན་ ཐོག་ ནས་ བཙལ་ ཡ་ གཅིག་ དང་ །",150,"དེབ་ འབྲི་མཁན་ གྱིས་ རྩོམ་པོ་ ཡི་",712,"person","POSS",3
"2E96BE16239C6","deb 'bri mkhan gyis rtsom po y mtshan","དེབ་ འབྲི་མཁན་ གྱིས་ རྩོམ་པོ་ ཡི་ མཚན་ ཐོག་ ནས་ བཙལ་ ཡ་ གཅིག་ དང་ །",150,"དེབ་ འབྲི་མཁན་ གྱིས་ རྩོམ་པོ་ ཡི་ མཚན་ ཐོག་ ནས་",715,"abstract","ADJ",3
"1E42AB264F890","brjod gzhi","གཅིག་ ཡང་ བརྗོད་གཞི་ ག་རེ་ ཡིན་ མིན་",152,"བརྗོད་གཞི་",725,"abstract","COPS",3
"247D62E2C6111","brjod gzhi","གཅིག་ ཡང་ བརྗོད་གཞི་ ག་རེ་ ཡིན་ མིན་",152,"བརྗོད་གཞི་ ག་རེ་ ཡིན་ མིན་",728,"abstract","FREE",3
"2650390218F5E","brjod gzhi","གཅིག་ ཡང་ བརྗོད་གཞི་ ག་རེ་ ཡིན་ མིན་",152,"ག་རེ་",726,"abstract","PRED",3
"E46460BF43EB","brjod gzhi","འདི འི་ ཐོག་ ནས་ བཙལ་ གནང་ ཡ་ ཡོད་ རེད །",153,"འདི འི་ ཐོག་ ནས་",732,"abstract","ADJ",3
"2D05FBA563FEC","brjod gzhi thog nas btsal","འདི འི་ ཐོག་ ནས་ བཙལ་ གནང་ ཡ་ ཡོད་ རེད །",153,"འདི འི་ ཐོག་ ནས་ བཙལ་ གནང་ ཡ་",735,NA,"EXIST",3
"23E86FE92602F","da lta","ད་ལྟ་ དབྱིན་",157,"ད་ལྟ་",743,"date/time","FREE",3
"19F60DB384D5E","bod mi ma yin pa","བོད- བོད་མི་ མ་ ཡིན་ པས་ བྲིས་པ་ དེ་",159,"བོད- བོད་མི་ མ་ ཡིན་ པས་",750,"person","A",3
"17CF977331886","bod mi ma yin pa'i bris pa'i deb","བོད- བོད་མི་ མ་ ཡིན་ པས་ བྲིས་པ་ དེ་",159,"བོད- བོད་མི་ མ་ ཡིན་ པས་ བྲིས་པ་ དེ་",752,"thing","FREE",3
"12C2A99ED5860","bod mi ma yin pa'i bris pa'i deb","ཨ་ནི་ ཕྱག་དེབ་ དེ་ ཚོ་",160,"ཕྱག་དེབ་ དེ་ ཚོ་",756,"thing","EXIST",3
"391E1CFC3271","skad yig gzhan dag","ཨ་ནི་ སྐད་ཡིག་ གཞན་དག་ ཐོག་ ནང་ ཡོད་ རེད །",161,"སྐད་ཡིག་ གཞན་དག་ ཐོག་ ནང་",761,"abstract","COPLOC",3
"2C0FF89F05766","bod mi ma yin pa'i bris pa'i deb","དེ་ ཚང་མ་ ང་ ཚོ་ འདི ར་ མེད་པ་ བྱས །",163,"དེ་ ཚང་མ་",768,"thing","EXIST",3
"F17650D3E6C0","dpe mdzod khang gi las byed pa","དེ་ ཚང་མ་ ང་ ཚོ་ འདི ར་ མེད་པ་ བྱས །",163,"ང་ ཚོ་",770,"person","COPLOC",1
"15EA39CC45D3F","bod yig sde tshan gyi dpe mdzod","དེ་ ཚང་མ་ ང་ ཚོ་ འདི ར་ མེད་པ་ བྱས །",163,"འདི ར་",772,"location","COPLOC",3
"1D7128F787AB1","dpe mdzod khang gi las byed pa","<0> དེབ་ སྤྱི་ཡོངས་ ཀྱི་ ནང་",166,"<0>",778,"person","A",0
"15BC8BDC1F258","deb spyi yongs","<0> དེབ་ སྤྱི་ཡོངས་ ཀྱི་ ནང་",166,"དེབ་ སྤྱི་ཡོངས་ ཀྱི་ ནང་",782,"thing","OBL",3
"11EABDD4568D9","bod yig sde tshan gyi dpe mdzod","ཨ་ནི་ འདི་ ལ དེ་འདྲ་",169,"འདི་ ལ",794,"location","COPS",3
"8B0C24DD6660","deb khang gtso bo'i nang","དེབ་ཁང་ གཙོ་བོ་ ག་གི འི་ ནང་ <0> །",173,"དེབ་ཁང་ གཙོ་བོ་ ག་གི འི་ ནང་",804,"location","PRED",3
"31AB83E471262","dpe mdzod khang gi las byed pa","འདི་ ང་ ཚོ་ ད་ལྟ་ འདི་",177,"ང་ ཚོ་",817,"person","FREE",1
"21599B258DD82","bod yig sde tshan gyi dpe mdzod","གཙོ་བོ་ དེ་ ད་ལྟ་ འདི ར་ ནང་ ལ་ ཡང་ ང་ ཚོས་",178,"འདི ར་ ནང་ ལ་",826,"location","COPLOC",3
"36C02447F3E88","dpe mdzod khang gi las byed pa","གཙོ་བོ་ དེ་ ད་ལྟ་ འདི ར་ ནང་ ལ་ ཡང་ ང་ ཚོས་",178,"ང་ ཚོས་",829,"person","A",1
"162B718E933E1","dkar chag","དཀར་ཆག་ བྱས །",180,"དཀར་ཆག་",831,"thing","FREE",3
"23F5062ACD117","tshig mdzod","གང་ ཟེར་ དགོས་ ཀྱི་ རེད །",184,"གང་",837,"thing","P",3
"1B55846EBF4C8","tshig mdzod","ད་ ཚིག་མཛོད་ འདྲ་ མི་ འདྲ་ བྱས །",185,"ཚིག་མཛོད་ འདྲ་ མི་ འདྲ་ བྱས",848,"thing","FREE",3
"288676640A732","dkar chag dang tshig mdzod yod","ཨང་ འོ་ ལྟ་ འདི་འདྲས་ འདྲ་པོ་ རེད །",187,"འདི་འདྲས་ འདྲ་པོ་",855,"`",NA,3
"374CE06EB40D5","dpe mdzod khang gi las byed pa","ལྟ་ ང་ ཚོ་ དཔེ་ཆ །",189,"ང་ ཚོ་",863,"person","FREE",1
"2BF76170F8E0","dpe cha","ལྟ་ ང་ ཚོ་ དཔེ་ཆ །",189,"དཔེ་ཆ",864,"thing","FREE",3
"37EEFDCC70685","dpe cha","བོད་པ འི་ དཔེ་ཆ་",192,"བོད་པ འི་ དཔེ་ཆ་",872,"thing","FREE",3
"309FA58881609","dpe cha","ཚང་མ་ ད་ལྟ་ ང་ཚོ་ ཁང་པ་ འོག་ཐོག་ ཡང་ ཡོད །",193,"ཚང་མ་",873,"thing","EXIST",3
"D5C538E8FC32","dpe mdzod khang gi las byed pa","ཚང་མ་ ད་ལྟ་ ང་ཚོ་ ཁང་པ་ འོག་ཐོག་ ཡང་ ཡོད །",193,"ང་ཚོ་",875,"person","FREE",1
"2215186483F93","'og thog","ཚང་མ་ ད་ལྟ་ ང་ཚོ་ ཁང་པ་ འོག་ཐོག་ ཡང་ ཡོད །",193,"ཁང་པ་ འོག་ཐོག་",877,"location","COPLOC",3
"21AD61C0DB3C","dpe mdzod do dam pa","<0> ང་ ལ་ ཁ་ཤས་ ཤིག་ གཡར་ དགོས་ ཀྱི་ འདུག",197,"<0>",887,"person","A",0
"ABCC6044805D","slob phrug","<0> ང་ ལ་ ཁ་ཤས་ ཤིག་ གཡར་ དགོས་ ཀྱི་ འདུག",197,"ང་ ལ་",889,"person","OBL",1
"89263A32DF94","phyag dpe (general)","<0> ང་ ལ་ ཁ་ཤས་ ཤིག་ གཡར་ དགོས་ ཀྱི་ འདུག",197,"ཁ་ཤས་ ཤིག་",891,"thing","P",3
"242226730EC91","'og thog","བྱས་ ཙང་ འོག་ཁང་ འདི་ ལ་ ཡ་",198,"འོག་ཁང་ འདི་ ལ་",900,"location","OBL",3
"A3B2B889AA38","dpe mdzod do dam pa","ཁྱེད་རང་ ཕེབས་ ཡ་ ཐུབ་ ཀྱི་ ཡོད་ དམ །",200,"ཁྱེད་རང་",903,"person","S",2
"373549A5587B7","da lta","ད་ལྟ་ ང་ བཅར་ ན་ འགྲིག་ གི་ འདུག",202,"ད་ལྟ་",914,"date/time","ADJ",3
"26A14D96AE6AA","dpe mdzod do dam pa","ད་ལྟ་ ང་ བཅར་ ན་ འགྲིག་ གི་ འདུག",202,"ང་",915,"person","S",1
"1C9585608EC9E","da lta","ཨ་ནི་ ད་ལྟ་",207,"ད་ལྟ་",929,"date/time","FREE",3
"13978B485D32E","'og thog","ཨ་ནི་ འདི འི་ འགྲོ་ས་ གང་ རེད །",209,"འདི འི་",933,"location","POSS",3
"166EC486C8DBD","'gro sa","ཨ་ནི་ འདི འི་ འགྲོ་ས་ གང་ རེད །",209,"འདི འི་ འགྲོ་ས་",934,"location","COPS",3
"149DBC1EE275C","'gro sa","ཨ་ནི་ འདི འི་ འགྲོ་ས་ གང་ རེད །",209,"གང་",935,"location","PRED",3
"2061C0F554737","da lta","ད་ལྟ་",211,"ད་ལྟ་",939,"date/time","FREE",3
"1032ECCD292D8","slob phrug dang don dam pa","<0> ཕེབས་ སྟངས་ དེ་ མཉམ་ དུ་ བཅར་ གྱི་ ཡིན །",213,"<0>",941,"person","S",0
"E09A5D82AA20","'gro sa","<0> ཕེབས་ སྟངས་ དེ་ མཉམ་ དུ་ བཅར་ གྱི་ ཡིན །",213,"ཕེབས་ སྟངས་ དེ་",944,"location","PTOP",3
